children,dob_years,education,family_status,gender,income_type,debt,total_income,purpose,purpose_lemm
0,21,Среднее,Не женат / не замужем,M,Компаньон,0,,операции с коммерческой недвижимостью,Недвижимость
0,28,Среднее,Женат / замужем,M,Сотрудник,0,145214.52360210626,заняться образованием,Образование
0,52,Высшее,Женат / замужем,F,Пенсионер,0,,покупка жилья для семьи,Недвижимость
2,46,Высшее,Женат / замужем,M,Компаньон,0,592071.4645709557,операции с коммерческой недвижимостью,Недвижимость
0,23,Среднее,Не женат / не замужем,F,Сотрудник,0,91247.05816440449,покупка своего жилья,Недвижимость
1,28,Высшее,Женат / замужем,M,Госслужащий,0,207561.4669982881,покупка коммерческой недвижимости,Недвижимость
0,62,Среднее,Женат / замужем,F,Пенсионер,0,43929.69639696845,автомобили,Автомобиль
1,32,Высшее,Женат / замужем,M,Госслужащий,0,,операции с коммерческой недвижимостью,Недвижимость
0,40,Среднее,Гражданский брак,M,Сотрудник,0,97946.84101113868,заняться образованием,Образование
1,45,Среднее,Женат / замужем,F,Сотрудник,0,81142.78348993426,покупка жилья для семьи,Недвижимость
1,38,Среднее,Женат / замужем,M,Сотрудник,1,81935.38150009303,операции с недвижимостью,Недвижимость
1,44,Высшее,Женат / замужем,M,Сотрудник,0,148992.03001020846,на покупку подержанного автомобиля,Автомобиль
0,43,Высшее,Не женат / не замужем,F,Сотрудник,0,140843.97435987124,свой автомобиль,Автомобиль
0,61,Высшее,Женат / замужем,M,Пенсионер,0,175127.64600043945,сделка с автомобилем,Автомобиль
0,27,Среднее,Не женат / не замужем,M,Компаньон,0,253681.70989067023,автомобили,Автомобиль
0,25,Среднее,Не женат / не замужем,F,Компаньон,0,82740.41289886518,сделка с автомобилем,Автомобиль
0,33,Среднее,Женат / замужем,F,Сотрудник,0,110833.2153688148,профильное образование,Образование
2,50,Высшее,Женат / замужем,F,Сотрудник,0,,жилье,Недвижимость
0,52,Среднее,Женат / замужем,M,Сотрудник,0,,жилье,Недвижимость
0,53,Среднее,Женат / замужем,F,Госслужащий,0,255909.1728015964,операции со своей недвижимостью,Недвижимость
0,30,Среднее,Женат / замужем,M,Сотрудник,0,54123.55781196013,высшее образование,Образование
0,64,Среднее,Гражданский брак,M,Пенсионер,0,243033.4532808924,свадьба,Свадьба
0,53,Среднее,Женат / замужем,F,Пенсионер,0,74363.8565543125,покупка жилья для сдачи,Недвижимость
0,63,Высшее,Гражданский брак,F,Пенсионер,0,206872.3500608577,на проведение свадьбы,Свадьба
0,42,Среднее,Гражданский брак,F,Компаньон,0,49463.91938004758,сделка с подержанным автомобилем,Автомобиль
2,35,Высшее,Женат / замужем,F,Сотрудник,0,,операции с жильем,Недвижимость
2,39,Среднее,Женат / замужем,F,Сотрудник,0,155886.85657536547,покупка недвижимости,Недвижимость
1,40,Высшее,Гражданский брак,F,Сотрудник,0,191397.96274969063,сыграть свадьбу,Свадьба
1,32,Среднее,Женат / замужем,M,Сотрудник,1,331139.5902983196,сделка с автомобилем,Автомобиль
1,34,Высшее,Гражданский брак,F,Компаньон,0,,на проведение свадьбы,Свадьба
0,51,Высшее,Женат / замужем,F,Сотрудник,0,94187.8780821613,автомобиль,Автомобиль
0,44,Среднее,Женат / замужем,F,Сотрудник,0,,покупка жилой недвижимости,Недвижимость
0,47,Высшее,Женат / замужем,F,Сотрудник,0,,профильное образование,Образование
0,54,Высшее,Женат / замужем,F,Пенсионер,0,199707.2985241309,покупка жилья для сдачи,Недвижимость
0,0,Среднее,Женат / замужем,F,Пенсионер,0,71291.52249055503,автомобиль,Автомобиль
0,49,Среднее,Вдовец / вдова,F,Сотрудник,1,176384.8825358073,операции с недвижимостью,Недвижимость
0,65,Среднее,Женат / замужем,F,Пенсионер,0,157970.48639320125,на покупку своего автомобиля,Автомобиль
0,51,Среднее,Гражданский брак,F,Компаньон,0,126706.59851264796,на покупку подержанного автомобиля,Автомобиль
1,39,Среднее,Не женат / не замужем,F,Сотрудник,0,142231.48942162484,строительство недвижимости,Недвижимость
0,59,Среднее,Не женат / не замужем,F,Пенсионер,0,163581.95007326518,покупка жилья для сдачи,Недвижимость
0,62,Среднее,Вдовец / вдова,F,Сотрудник,0,76884.18758751624,строительство собственной недвижимости,Недвижимость
1,29,Среднее,Гражданский брак,F,Сотрудник,0,171871.73288718596,образование,Образование
0,24,Высшее,Гражданский брак,F,Компаньон,0,202988.76912028992,строительство собственной недвижимости,Недвижимость
2,33,Высшее,Гражданский брак,F,Сотрудник,0,180051.75197761177,сделка с подержанным автомобилем,Автомобиль
0,59,Среднее,Женат / замужем,F,Сотрудник,0,107643.67560995698,образование,Образование
0,41,Среднее,Женат / замужем,M,Госслужащий,0,118551.6078291152,покупка жилья,Недвижимость
0,61,Среднее,Не женат / не замужем,F,Компаньон,0,173896.61827401767,недвижимость,Недвижимость
1,28,Высшее,Женат / замужем,M,Сотрудник,0,280934.30586873967,недвижимость,Недвижимость
0,52,Среднее,Женат / замужем,F,Госслужащий,0,120655.0982583378,образование,Образование
0,26,Высшее,Женат / замужем,F,Сотрудник,1,143471.7122774315,операции со своей недвижимостью,Недвижимость
1,38,Высшее,Женат / замужем,F,Госслужащий,0,97848.2766110214,операции с коммерческой недвижимостью,Недвижимость
1,50,Среднее,Женат / замужем,M,Сотрудник,0,83366.31969915295,покупка жилой недвижимости,Недвижимость
0,41,Среднее,В разводе,F,Сотрудник,0,178975.13357434978,на покупку автомобиля,Автомобиль
2,33,Среднее,Гражданский брак,M,Компаньон,0,113572.21337646277,на проведение свадьбы,Свадьба
0,60,Среднее,Не женат / не замужем,F,Пенсионер,0,31534.750497334928,покупка коммерческой недвижимости,Недвижимость
0,46,Среднее,Женат / замужем,F,Сотрудник,0,,высшее образование,Образование
0,29,Высшее,Женат / замужем,F,Компаньон,0,,автомобиль,Автомобиль
0,55,Высшее,Женат / замужем,F,Компаньон,0,103628.07085383665,автомобили,Автомобиль
2,39,Среднее,Женат / замужем,M,Сотрудник,0,83892.81598726273,покупка жилья для сдачи,Недвижимость
0,38,Среднее,Женат / замужем,F,Сотрудник,1,175046.42251455868,операции с коммерческой недвижимостью,Недвижимость
0,64,Высшее,Гражданский брак,F,Компаньон,0,186408.7418299351,свадьба,Свадьба
1,49,Среднее,Женат / замужем,M,Компаньон,0,339517.3610727709,строительство собственной недвижимости,Недвижимость
0,43,Высшее,Не женат / не замужем,F,Сотрудник,0,203279.59982532423,строительство жилой недвижимости,Недвижимость
0,67,Среднее,В разводе,F,Пенсионер,0,112331.78706716756,сделка с автомобилем,Автомобиль
0,61,Среднее,Гражданский брак,M,Пенсионер,0,103644.93254718713,автомобиль,Автомобиль
0,42,Среднее,Женат / замужем,F,Компаньон,0,95845.74470717036,операции со своей недвижимостью,Недвижимость
0,58,Среднее,Женат / замужем,M,Сотрудник,0,73637.58619017908,получение дополнительного образования,Образование
1,45,Среднее,Женат / замужем,M,Сотрудник,0,246227.99254138197,автомобиль,Автомобиль
0,64,Среднее,Женат / замужем,F,Пенсионер,0,79047.6530585805,образование,Образование
1,46,Неоконченное высшее,В разводе,F,Сотрудник,0,166015.79050422882,покупка жилой недвижимости,Недвижимость
0,27,Среднее,Женат / замужем,M,Компаньон,0,,жилье,Недвижимость
0,60,Начальное,Женат / замужем,M,Пенсионер,0,113124.20278145476,операции со своей недвижимостью,Недвижимость
1,28,Высшее,Гражданский брак,M,Сотрудник,0,269423.96295991854,сыграть свадьбу,Свадьба
0,43,Среднее,Женат / замужем,F,Госслужащий,0,119827.6542453248,покупка своего жилья,Недвижимость
0,29,Неоконченное высшее,Женат / замужем,M,Компаньон,0,196932.07728901436,ремонт жилью,Недвижимость
0,24,Среднее,Гражданский брак,F,Сотрудник,0,102110.98914883527,покупка коммерческой недвижимости,Недвижимость
0,39,Среднее,Гражданский брак,M,Сотрудник,0,,свадьба,Свадьба
0,54,Среднее,Женат / замужем,F,Пенсионер,0,108280.64485742812,сделка с подержанным автомобилем,Автомобиль
0,48,Среднее,Вдовец / вдова,F,Сотрудник,0,151069.43847035486,строительство собственной недвижимости,Недвижимость
1,45,Среднее,Гражданский брак,F,Сотрудник,0,284248.0832952967,свой автомобиль,Автомобиль
0,62,Среднее,Женат / замужем,M,Пенсионер,0,,строительство недвижимости,Недвижимость
0,46,Среднее,Женат / замужем,F,Сотрудник,0,98709.73054718717,покупка жилья,Недвижимость
0,47,Среднее,Женат / замужем,F,Госслужащий,1,74535.09733065074,операции с недвижимостью,Недвижимость
0,37,Среднее,Женат / замужем,F,Сотрудник,0,145159.21497712686,на покупку своего автомобиля,Автомобиль
0,0,Среднее,В разводе,F,Сотрудник,0,70176.43595051017,операции с жильем,Недвижимость
0,71,Среднее,Гражданский брак,F,Пенсионер,0,174088.29322065786,сыграть свадьбу,Свадьба
0,37,Высшее,Гражданский брак,F,Компаньон,0,463089.9792084557,сыграть свадьбу,Свадьба
1,39,Среднее,Женат / замужем,F,Компаньон,0,40891.12824378687,покупка своего жилья,Недвижимость
1,20,Среднее,Женат / замужем,M,Компаньон,1,134750.74951489054,жилье,Недвижимость
1,41,Высшее,Вдовец / вдова,F,Сотрудник,0,143113.3292930616,операции с коммерческой недвижимостью,Недвижимость
0,40,Среднее,Женат / замужем,F,Компаньон,0,70788.33944690305,дополнительное образование,Образование
0,65,Среднее,Женат / замужем,M,Пенсионер,0,261291.0364533132,получение дополнительного образования,Образование
0,38,Среднее,Женат / замужем,F,Пенсионер,1,113560.65003534064,сделка с автомобилем,Автомобиль
0,56,Среднее,Женат / замужем,F,Сотрудник,0,80547.23925773834,образование,Образование
0,59,Среднее,Не женат / не замужем,F,Пенсионер,0,149542.8588742301,на покупку своего автомобиля,Автомобиль
0,45,Среднее,Гражданский брак,M,Сотрудник,0,198386.798958856,покупка жилья для сдачи,Недвижимость
1,39,Высшее,Женат / замужем,F,Сотрудник,0,87107.11820547588,приобретение автомобиля,Автомобиль
0,62,Среднее,Женат / замужем,M,Сотрудник,0,66577.61712641187,получение дополнительного образования,Образование
0,50,Среднее,Женат / замужем,M,Сотрудник,0,78975.57711163633,ремонт жилью,Недвижимость
2,27,Высшее,Женат / замужем,F,Сотрудник,1,369587.0876962028,на покупку своего автомобиля,Автомобиль
2,32,Высшее,Женат / замужем,M,Госслужащий,0,228289.248361869,покупка жилья,Недвижимость
0,38,Среднее,Гражданский брак,M,Сотрудник,0,144073.71137831223,операции с жильем,Недвижимость
0,56,Среднее,Гражданский брак,F,Госслужащий,0,220719.05505659032,на проведение свадьбы,Свадьба
0,67,Среднее,Вдовец / вдова,F,Пенсионер,0,139038.94464450798,покупка своего жилья,Недвижимость
0,58,Среднее,Гражданский брак,F,Пенсионер,0,167861.70077631506,приобретение автомобиля,Автомобиль
0,28,Высшее,Не женат / не замужем,M,Сотрудник,0,121721.8927765662,жилье,Недвижимость
0,60,Среднее,Гражданский брак,F,Компаньон,0,225197.795335085,на проведение свадьбы,Свадьба
0,49,Среднее,Женат / замужем,F,Сотрудник,0,182980.11560336116,строительство недвижимости,Недвижимость
0,49,Среднее,Женат / замужем,M,Компаньон,0,416461.874680372,покупка коммерческой недвижимости,Недвижимость
0,55,Высшее,Вдовец / вдова,F,Компаньон,0,,свой автомобиль,Автомобиль
2,38,Среднее,Женат / замужем,F,Сотрудник,0,141210.68421368927,строительство недвижимости,Недвижимость
0,60,Среднее,Женат / замужем,F,Пенсионер,0,104621.06741141542,заняться высшим образованием,Образование
2,48,Среднее,Женат / замужем,M,Госслужащий,0,173074.19294233265,сделка с подержанным автомобилем,Автомобиль
0,59,Среднее,Вдовец / вдова,F,Пенсионер,0,87268.77878594003,приобретение автомобиля,Автомобиль
0,43,Среднее,Не женат / не замужем,F,Сотрудник,0,177790.01385692504,покупка своего жилья,Недвижимость
0,37,Среднее,Гражданский брак,F,Сотрудник,0,212257.2125065801,сыграть свадьбу,Свадьба
0,26,Среднее,Гражданский брак,F,Компаньон,1,,покупка жилья для семьи,Недвижимость
1,49,Среднее,Гражданский брак,F,Сотрудник,0,81419.70340277969,свадьба,Свадьба
1,35,Высшее,Гражданский брак,M,Компаньон,1,272193.00295690284,получение дополнительного образования,Образование
0,57,Высшее,Женат / замужем,M,Пенсионер,0,141337.86704165823,покупка жилья для сдачи,Недвижимость
0,32,Среднее,Гражданский брак,M,Сотрудник,1,160905.70703999972,получение дополнительного образования,Образование
0,34,Среднее,В разводе,F,Сотрудник,0,201650.35527091235,операции с коммерческой недвижимостью,Недвижимость
0,46,Высшее,Гражданский брак,F,Сотрудник,0,260037.6656030533,высшее образование,Образование
0,48,Среднее,Женат / замужем,M,Сотрудник,0,173544.6795225835,покупка своего жилья,Недвижимость
1,30,Среднее,Не женат / не замужем,F,Сотрудник,0,,свой автомобиль,Автомобиль
0,26,Среднее,Гражданский брак,M,Компаньон,0,160891.47206000533,на проведение свадьбы,Свадьба
0,60,Среднее,Женат / замужем,F,Пенсионер,0,173948.35223498062,высшее образование,Образование
0,47,Среднее,Женат / замужем,M,Сотрудник,0,218442.0077563275,свой автомобиль,Автомобиль
0,60,Высшее,В разводе,F,Пенсионер,0,97191.99640027812,на покупку подержанного автомобиля,Автомобиль
0,24,Среднее,Гражданский брак,M,Компаньон,0,135860.8870305674,получение образования,Образование
0,51,Среднее,Женат / замужем,F,Сотрудник,0,255838.3616801636,дополнительное образование,Образование
0,37,Высшее,Женат / замужем,F,Компаньон,0,160754.5480823424,покупка своего жилья,Недвижимость
0,59,Высшее,Женат / замужем,F,Сотрудник,0,140849.62459987565,покупка недвижимости,Недвижимость
0,52,Среднее,Не женат / не замужем,F,Компаньон,0,139169.41346167913,на покупку своего автомобиля,Автомобиль
1,23,Среднее,Вдовец / вдова,F,Сотрудник,0,58549.627394318864,сделка с подержанным автомобилем,Автомобиль
0,41,Среднее,Гражданский брак,F,Сотрудник,0,201126.0474025323,строительство недвижимости,Недвижимость
0,39,Среднее,Женат / замужем,F,Компаньон,0,86996.80722956106,покупка жилой недвижимости,Недвижимость
1,38,Среднее,Женат / замужем,F,Сотрудник,1,90960.94119189213,покупка жилой недвижимости,Недвижимость
0,56,Среднее,Женат / замужем,M,Сотрудник,0,163774.77340601108,строительство собственной недвижимости,Недвижимость
0,61,Среднее,Женат / замужем,F,Пенсионер,0,181307.7994224636,строительство жилой недвижимости,Недвижимость
1,31,Высшее,Женат / замужем,F,Сотрудник,0,,на покупку подержанного автомобиля,Автомобиль
0,54,Среднее,Женат / замужем,F,Пенсионер,0,267172.7091996921,получение образования,Образование
0,37,Среднее,Не женат / не замужем,F,Сотрудник,0,112735.87896430984,покупка своего жилья,Недвижимость
0,22,Среднее,Гражданский брак,M,Компаньон,0,162492.01844851565,профильное образование,Образование
2,38,Высшее,Женат / замужем,F,Сотрудник,0,195133.38745708505,операции с коммерческой недвижимостью,Недвижимость
2,55,Начальное,Вдовец / вдова,F,Пенсионер,0,160635.12034694868,строительство жилой недвижимости,Недвижимость
0,41,Начальное,Гражданский брак,F,Сотрудник,0,36649.0784390092,сделка с подержанным автомобилем,Автомобиль
0,48,Высшее,Не женат / не замужем,M,Госслужащий,0,239697.6161592209,приобретение автомобиля,Автомобиль
1,38,Высшее,Гражданский брак,M,Сотрудник,1,231389.8327944069,на покупку автомобиля,Автомобиль
2,41,Неоконченное высшее,Женат / замужем,F,Сотрудник,0,314546.9933727884,покупка жилья для семьи,Недвижимость
0,42,Высшее,Не женат / не замужем,F,Компаньон,0,260465.3944997188,операции с недвижимостью,Недвижимость
0,22,Высшее,Гражданский брак,F,Сотрудник,0,118757.77013512445,образование,Образование
0,54,Среднее,Гражданский брак,F,Пенсионер,0,269589.0051292617,строительство собственной недвижимости,Недвижимость
1,34,Среднее,Женат / замужем,F,Сотрудник,1,213214.0924519784,на покупку своего автомобиля,Автомобиль
0,21,Неоконченное высшее,Гражданский брак,F,Компаньон,0,86954.92246460478,операции с коммерческой недвижимостью,Недвижимость
1,23,Неоконченное высшее,Гражданский брак,F,Компаньон,0,,сыграть свадьбу,Свадьба
0,65,Среднее,Вдовец / вдова,F,Пенсионер,0,178464.0801124702,автомобили,Автомобиль
0,32,Высшее,Женат / замужем,M,Компаньон,0,188982.6725700104,покупка жилой недвижимости,Недвижимость
0,61,Среднее,В разводе,F,Пенсионер,0,110251.170412476,операции с коммерческой недвижимостью,Недвижимость
2,41,Среднее,Женат / замужем,F,Компаньон,0,94587.13139055832,покупка своего жилья,Недвижимость
0,52,Среднее,Женат / замужем,F,Сотрудник,0,153892.26560479988,строительство недвижимости,Недвижимость
1,30,Среднее,Женат / замужем,F,Госслужащий,0,132754.36261306456,получение высшего образования,Образование
1,64,Высшее,Гражданский брак,F,Сотрудник,0,142424.64353092152,жилье,Недвижимость
0,60,Среднее,Не женат / не замужем,F,Пенсионер,0,190426.12751817648,ремонт жилью,Недвижимость
0,73,Среднее,Вдовец / вдова,F,Пенсионер,0,136897.0083753175,сделка с подержанным автомобилем,Автомобиль
1,28,Среднее,Гражданский брак,M,Компаньон,1,188585.6447572717,свадьба,Свадьба
1,41,Среднее,Женат / замужем,F,Сотрудник,1,112090.59753315602,покупка жилья для семьи,Недвижимость
0,49,Среднее,Гражданский брак,F,Сотрудник,0,74616.8762361815,свадьба,Свадьба
1,50,Среднее,Женат / замужем,F,Сотрудник,0,143391.0714239233,на покупку автомобиля,Автомобиль
0,52,Среднее,Не женат / не замужем,F,Сотрудник,0,140447.6939909726,профильное образование,Образование
0,50,Среднее,Женат / замужем,F,Сотрудник,0,125165.9401116094,жилье,Недвижимость
0,59,Среднее,Женат / замужем,F,Пенсионер,0,142956.54589458782,на покупку автомобиля,Автомобиль
2,37,Среднее,Женат / замужем,M,Сотрудник,0,202689.7570034978,покупка недвижимости,Недвижимость
0,44,Среднее,Гражданский брак,F,Сотрудник,0,235437.4092191936,на проведение свадьбы,Свадьба
0,43,Среднее,Женат / замужем,M,Сотрудник,0,436688.7692746029,операции с недвижимостью,Недвижимость
0,47,Среднее,Вдовец / вдова,F,Компаньон,0,132797.24369500572,покупка коммерческой недвижимости,Недвижимость
0,47,Среднее,Женат / замужем,M,Сотрудник,0,,строительство собственной недвижимости,Недвижимость
0,58,Среднее,Женат / замужем,F,Госслужащий,0,,покупка своего жилья,Недвижимость
0,49,Высшее,Гражданский брак,M,Компаньон,0,383743.1531675507,свадьба,Свадьба
0,48,Среднее,Гражданский брак,F,Сотрудник,0,130945.6108646336,высшее образование,Образование
0,50,Среднее,В разводе,M,Сотрудник,0,197169.81331307805,покупка жилой недвижимости,Недвижимость
1,40,Среднее,Женат / замужем,F,Компаньон,0,158350.07693986595,строительство недвижимости,Недвижимость
1,60,Высшее,Женат / замужем,F,Пенсионер,1,,заняться высшим образованием,Образование
0,31,Среднее,Женат / замужем,M,Сотрудник,0,259511.2005023471,покупка жилой недвижимости,Недвижимость
0,29,Высшее,Женат / замужем,F,Сотрудник,0,188190.33840575285,получение высшего образования,Образование
0,54,Высшее,Женат / замужем,F,Сотрудник,0,,сделка с подержанным автомобилем,Автомобиль
0,71,Среднее,Вдовец / вдова,F,Пенсионер,0,138877.16323401802,покупка коммерческой недвижимости,Недвижимость
1,35,Среднее,Женат / замужем,F,Компаньон,0,230040.1246407123,покупка жилья,Недвижимость
0,63,Среднее,Вдовец / вдова,F,Пенсионер,0,91947.7686715459,получение высшего образования,Образование
2,44,Высшее,Женат / замужем,F,Компаньон,0,327126.7382980421,жилье,Недвижимость
0,45,Среднее,Женат / замужем,M,Сотрудник,0,119879.15451388426,покупка жилья,Недвижимость
0,52,Среднее,Женат / замужем,F,Сотрудник,0,82913.07958533696,дополнительное образование,Образование
0,49,Высшее,Женат / замужем,M,Сотрудник,0,204544.9473772695,операции с жильем,Недвижимость
1,47,Среднее,Гражданский брак,M,Сотрудник,0,149082.6978115048,свадьба,Свадьба
0,29,Высшее,Гражданский брак,F,Сотрудник,0,211975.5093212032,свадьба,Свадьба
1,29,Среднее,Гражданский брак,F,Компаньон,0,286533.8601919884,покупка жилья для семьи,Недвижимость
0,51,Среднее,Женат / замужем,F,Компаньон,0,143913.54889214569,операции с жильем,Недвижимость
0,44,Среднее,Женат / замужем,F,Сотрудник,0,168586.38983165554,покупка недвижимости,Недвижимость
0,52,Среднее,Женат / замужем,F,Пенсионер,0,75225.8329878206,строительство жилой недвижимости,Недвижимость
2,40,Среднее,В разводе,F,Сотрудник,0,,недвижимость,Недвижимость
2,48,Среднее,Женат / замужем,M,Компаньон,0,215985.44144559512,строительство недвижимости,Недвижимость
0,59,Среднее,Женат / замужем,F,Пенсионер,0,93391.58176538996,недвижимость,Недвижимость
0,68,Высшее,Женат / замужем,F,Пенсионер,0,161112.5201914575,операции с коммерческой недвижимостью,Недвижимость
2,29,Высшее,Не женат / не замужем,M,Сотрудник,0,266641.9942621301,покупка жилья,Недвижимость
2,37,Среднее,Женат / замужем,F,Сотрудник,1,80334.09573086095,на покупку подержанного автомобиля,Автомобиль
3,0,Среднее,Женат / замужем,F,Сотрудник,0,102166.4588936468,ремонт жилью,Недвижимость
0,66,Среднее,Вдовец / вдова,F,Пенсионер,0,61441.44474867713,автомобиль,Автомобиль
