flight_id,departure_time,arrival_time,departure_airport,arrival_airport,aircraft_code
17,2018-10-28 11:25:00+03,2018-10-28 12:20:00+03,DME,LED,321
18,2018-10-28 10:25:00+03,2018-10-28 11:20:00+03,DME,LED,321
19,2018-10-28 18:05:00+03,2018-10-28 19:00:00+03,DME,LED,321
20,2018-09-25 18:05:00+03,2018-09-25 19:00:00+03,DME,LED,321
21,2018-10-28 08:35:00+03,2018-10-28 09:30:00+03,DME,LED,321
22,2018-09-25 10:25:00+03,2018-09-25 11:20:00+03,DME,LED,321
23,2018-09-25 11:25:00+03,2018-09-25 12:20:00+03,DME,LED,321
24,2018-10-18 10:25:00+03,2018-10-18 11:20:00+03,DME,LED,321
25,2018-11-08 11:25:00+03,2018-11-08 12:20:00+03,DME,LED,321
26,2018-11-08 10:25:00+03,2018-11-08 11:20:00+03,DME,LED,321
27,2018-11-08 18:05:00+03,2018-11-08 19:00:00+03,DME,LED,321
28,2018-11-08 08:35:00+03,2018-11-08 09:30:00+03,DME,LED,321
29,2018-09-04 08:35:00+03,2018-09-04 09:30:00+03,DME,LED,321
30,2018-09-04 18:05:00+03,2018-09-04 19:00:00+03,DME,LED,321
31,2018-09-04 10:25:00+03,2018-09-04 11:20:00+03,DME,LED,321
32,2018-07-24 11:25:00+03,2018-07-24 12:20:00+03,DME,LED,321
33,2018-07-24 10:25:00+03,2018-07-24 11:20:00+03,DME,LED,321
34,2018-09-04 11:25:00+03,2018-09-04 12:20:00+03,DME,LED,321
35,2018-07-24 18:05:00+03,2018-07-24 19:00:00+03,DME,LED,321
36,2018-07-24 08:35:00+03,2018-07-24 09:30:00+03,DME,LED,321
37,2018-09-13 11:25:00+03,2018-09-13 12:20:00+03,DME,LED,321
38,2018-09-13 10:25:00+03,2018-09-13 11:20:00+03,DME,LED,321
39,2018-09-13 18:05:00+03,2018-09-13 19:00:00+03,DME,LED,321
40,2018-09-13 08:35:00+03,2018-09-13 09:30:00+03,DME,LED,321
41,2018-10-11 08:35:00+03,2018-10-11 09:30:00+03,DME,LED,321
42,2018-10-11 18:05:00+03,2018-10-11 19:00:00+03,DME,LED,321
43,2018-10-11 10:25:00+03,2018-10-11 11:20:00+03,DME,LED,321
44,2018-10-11 11:25:00+03,2018-10-11 12:20:00+03,DME,LED,321
45,2018-09-12 08:35:00+03,2018-09-12 09:30:00+03,DME,LED,321
46,2018-09-12 18:05:00+03,2018-09-12 19:00:00+03,DME,LED,321
47,2018-09-12 10:25:00+03,2018-09-12 11:20:00+03,DME,LED,321
48,2018-09-12 11:25:00+03,2018-09-12 12:20:00+03,DME,LED,321
49,2018-10-21 08:35:00+03,2018-10-21 09:30:00+03,DME,LED,321
50,2018-08-13 11:25:00+03,2018-08-13 12:20:00+03,DME,LED,321
51,2018-08-13 10:25:00+03,2018-08-13 11:20:00+03,DME,LED,321
52,2018-08-13 18:05:00+03,2018-08-13 19:00:00+03,DME,LED,321
53,2018-08-13 08:35:00+03,2018-08-13 09:30:00+03,DME,LED,321
54,2018-10-18 18:05:00+03,2018-10-18 19:00:00+03,DME,LED,321
55,2018-08-11 08:35:00+03,2018-08-11 09:30:00+03,DME,LED,321
56,2018-08-11 18:05:00+03,2018-08-11 19:00:00+03,DME,LED,321
57,2018-08-11 10:25:00+03,2018-08-11 11:20:00+03,DME,LED,321
58,2018-08-11 11:25:00+03,2018-08-11 12:20:00+03,DME,LED,321
59,2018-10-21 18:05:00+03,2018-10-21 19:00:00+03,DME,LED,321
60,2018-10-21 10:25:00+03,2018-10-21 11:20:00+03,DME,LED,321
61,2018-11-07 08:35:00+03,2018-11-07 09:30:00+03,DME,LED,321
62,2018-11-07 18:05:00+03,2018-11-07 19:00:00+03,DME,LED,321
63,2018-11-07 10:25:00+03,2018-11-07 11:20:00+03,DME,LED,321
64,2018-11-07 11:25:00+03,2018-11-07 12:20:00+03,DME,LED,321
65,2018-07-15 11:25:00+03,2018-07-15 12:20:00+03,DME,LED,321
66,2018-07-15 10:25:00+03,2018-07-15 11:20:00+03,DME,LED,321
67,2018-07-15 18:05:00+03,2018-07-15 19:00:00+03,DME,LED,321
68,2018-07-15 08:35:00+03,2018-07-15 09:30:00+03,DME,LED,321
69,2018-07-25 11:25:00+03,2018-07-25 12:20:00+03,DME,LED,321
70,2018-07-25 10:25:00+03,2018-07-25 11:20:00+03,DME,LED,321
71,2018-07-25 18:05:00+03,2018-07-25 19:00:00+03,DME,LED,321
72,2018-07-25 08:35:00+03,2018-07-25 09:30:00+03,DME,LED,321
73,2018-10-05 11:25:00+03,2018-10-05 12:20:00+03,DME,LED,321
74,2018-10-05 10:25:00+03,2018-10-05 11:20:00+03,DME,LED,321
75,2018-10-05 18:05:00+03,2018-10-05 19:00:00+03,DME,LED,321
76,2018-10-05 08:35:00+03,2018-10-05 09:30:00+03,DME,LED,321
77,2018-09-24 08:35:00+03,2018-09-24 09:30:00+03,DME,LED,321
78,2018-09-24 18:05:00+03,2018-09-24 19:00:00+03,DME,LED,321
79,2018-09-24 10:25:00+03,2018-09-24 11:20:00+03,DME,LED,321
80,2018-09-24 11:25:00+03,2018-09-24 12:20:00+03,DME,LED,321
81,2018-08-24 08:35:00+03,2018-08-24 09:30:00+03,DME,LED,321
82,2018-08-24 18:05:00+03,2018-08-24 19:00:00+03,DME,LED,321
83,2018-08-24 10:25:00+03,2018-08-24 11:20:00+03,DME,LED,321
84,2018-08-24 11:25:00+03,2018-08-24 12:20:00+03,DME,LED,321
85,2018-10-16 11:25:00+03,2018-10-16 12:20:00+03,DME,LED,321
86,2018-10-21 11:25:00+03,2018-10-21 12:20:00+03,DME,LED,321
87,2018-10-29 11:25:00+03,2018-10-29 12:20:00+03,DME,LED,321
88,2018-09-05 11:25:00+03,2018-09-05 12:20:00+03,DME,LED,321
89,2018-10-29 10:25:00+03,2018-10-29 11:20:00+03,DME,LED,321
90,2018-10-29 18:05:00+03,2018-10-29 19:00:00+03,DME,LED,321
91,2018-10-29 08:35:00+03,2018-10-29 09:30:00+03,DME,LED,321
92,2018-09-05 10:25:00+03,2018-09-05 11:20:00+03,DME,LED,321
93,2018-09-05 18:05:00+03,2018-09-05 19:00:00+03,DME,LED,321
94,2018-09-05 08:35:00+03,2018-09-05 09:30:00+03,DME,LED,321
95,2018-09-26 11:25:00+03,2018-09-26 12:20:00+03,DME,LED,321
96,2018-09-26 10:25:00+03,2018-09-26 11:20:00+03,DME,LED,321
97,2018-09-26 18:05:00+03,2018-09-26 19:00:00+03,DME,LED,321
98,2018-09-26 08:35:00+03,2018-09-26 09:30:00+03,DME,LED,321
99,2018-10-16 10:25:00+03,2018-10-16 11:20:00+03,DME,LED,321
100,2018-10-16 18:05:00+03,2018-10-16 19:00:00+03,DME,LED,321
101,2018-10-16 08:35:00+03,2018-10-16 09:30:00+03,DME,LED,321
102,2018-08-26 11:25:00+03,2018-08-26 12:20:00+03,DME,LED,321
103,2018-08-26 10:25:00+03,2018-08-26 11:20:00+03,DME,LED,321
104,2018-08-26 18:05:00+03,2018-08-26 19:00:00+03,DME,LED,321
105,2018-08-26 08:35:00+03,2018-08-26 09:30:00+03,DME,LED,321
106,2018-08-31 11:25:00+03,2018-08-31 12:20:00+03,DME,LED,321
107,2018-10-04 08:35:00+03,2018-10-04 09:30:00+03,DME,LED,321
108,2018-10-04 18:05:00+03,2018-10-04 19:00:00+03,DME,LED,321
109,2018-07-22 08:35:00+03,2018-07-22 09:30:00+03,DME,LED,321
110,2018-07-22 18:05:00+03,2018-07-22 19:00:00+03,DME,LED,321
111,2018-07-22 10:25:00+03,2018-07-22 11:20:00+03,DME,LED,321
112,2018-07-22 11:25:00+03,2018-07-22 12:20:00+03,DME,LED,321
113,2018-10-04 10:25:00+03,2018-10-04 11:20:00+03,DME,LED,321
114,2018-10-04 11:25:00+03,2018-10-04 12:20:00+03,DME,LED,321
115,2018-08-10 18:05:00+03,2018-08-10 19:00:00+03,DME,LED,321
116,2018-08-10 10:25:00+03,2018-08-10 11:20:00+03,DME,LED,321
117,2018-08-10 11:25:00+03,2018-08-10 12:20:00+03,DME,LED,321
118,2018-07-26 11:25:00+03,2018-07-26 12:20:00+03,DME,LED,321
119,2018-07-26 10:25:00+03,2018-07-26 11:20:00+03,DME,LED,321
120,2018-07-26 18:05:00+03,2018-07-26 19:00:00+03,DME,LED,321
121,2018-07-26 08:35:00+03,2018-07-26 09:30:00+03,DME,LED,321
122,2018-10-22 11:25:00+03,2018-10-22 12:20:00+03,DME,LED,321
123,2018-10-22 10:25:00+03,2018-10-22 11:20:00+03,DME,LED,321
124,2018-10-22 18:05:00+03,2018-10-22 19:00:00+03,DME,LED,321
125,2018-10-22 08:35:00+03,2018-10-22 09:30:00+03,DME,LED,321
126,2018-09-14 11:25:00+03,2018-09-14 12:20:00+03,DME,LED,321
127,2018-09-14 10:25:00+03,2018-09-14 11:20:00+03,DME,LED,321
128,2018-09-14 18:05:00+03,2018-09-14 19:00:00+03,DME,LED,321
129,2018-10-15 08:35:00+03,2018-10-15 09:30:00+03,DME,LED,321
130,2018-09-14 08:35:00+03,2018-09-14 09:30:00+03,DME,LED,321
131,2018-10-15 18:05:00+03,2018-10-15 19:00:00+03,DME,LED,321
132,2018-08-31 10:25:00+03,2018-08-31 11:20:00+03,DME,LED,321
133,2018-10-15 10:25:00+03,2018-10-15 11:20:00+03,DME,LED,321
134,2018-10-15 11:25:00+03,2018-10-15 12:20:00+03,DME,LED,321
135,2018-08-14 11:25:00+03,2018-08-14 12:20:00+03,DME,LED,321
136,2018-11-06 08:35:00+03,2018-11-06 09:30:00+03,DME,LED,321
137,2018-11-06 18:05:00+03,2018-11-06 19:00:00+03,DME,LED,321
138,2018-08-14 10:25:00+03,2018-08-14 11:20:00+03,DME,LED,321
139,2018-08-14 18:05:00+03,2018-08-14 19:00:00+03,DME,LED,321
140,2018-08-14 08:35:00+03,2018-08-14 09:30:00+03,DME,LED,321
141,2018-11-06 10:25:00+03,2018-11-06 11:20:00+03,DME,LED,321
142,2018-11-06 11:25:00+03,2018-11-06 12:20:00+03,DME,LED,321
143,2018-09-23 08:35:00+03,2018-09-23 09:30:00+03,DME,LED,321
144,2018-09-23 18:05:00+03,2018-09-23 19:00:00+03,DME,LED,321
145,2018-09-23 10:25:00+03,2018-09-23 11:20:00+03,DME,LED,321
146,2018-09-23 11:25:00+03,2018-09-23 12:20:00+03,DME,LED,321
147,2018-08-23 08:35:00+03,2018-08-23 09:30:00+03,DME,LED,321
148,2018-08-23 18:05:00+03,2018-08-23 19:00:00+03,DME,LED,321
149,2018-08-23 10:25:00+03,2018-08-23 11:20:00+03,DME,LED,321
150,2018-08-23 11:25:00+03,2018-08-23 12:20:00+03,DME,LED,321
151,2018-07-27 11:25:00+03,2018-07-27 12:20:00+03,DME,LED,321
152,2018-10-27 08:35:00+03,2018-10-27 09:30:00+03,DME,LED,321
153,2018-10-27 18:05:00+03,2018-10-27 19:00:00+03,DME,LED,321
154,2018-07-27 10:25:00+03,2018-07-27 11:20:00+03,DME,LED,321
155,2018-10-27 10:25:00+03,2018-10-27 11:20:00+03,DME,LED,321
156,2018-10-27 11:25:00+03,2018-10-27 12:20:00+03,DME,LED,321
157,2018-07-27 18:05:00+03,2018-07-27 19:00:00+03,DME,LED,321
158,2018-07-27 08:35:00+03,2018-07-27 09:30:00+03,DME,LED,321
159,2018-10-12 11:25:00+03,2018-10-12 12:20:00+03,DME,LED,321
160,2018-10-12 10:25:00+03,2018-10-12 11:20:00+03,DME,LED,321
161,2018-10-12 18:05:00+03,2018-10-12 19:00:00+03,DME,LED,321
162,2018-10-12 08:35:00+03,2018-10-12 09:30:00+03,DME,LED,321
163,2018-10-18 11:25:00+03,2018-10-18 12:20:00+03,DME,LED,321
164,2018-09-01 11:25:00+03,2018-09-01 12:20:00+03,DME,LED,321
165,2018-09-01 10:25:00+03,2018-09-01 11:20:00+03,DME,LED,321
166,2018-09-01 18:05:00+03,2018-09-01 19:00:00+03,DME,LED,321
167,2018-09-01 08:35:00+03,2018-09-01 09:30:00+03,DME,LED,321
168,2018-08-09 08:35:00+03,2018-08-09 09:30:00+03,DME,LED,321
169,2018-08-09 18:05:00+03,2018-08-09 19:00:00+03,DME,LED,321
170,2018-08-09 10:25:00+03,2018-08-09 11:20:00+03,DME,LED,321
171,2018-08-09 11:25:00+03,2018-08-09 12:20:00+03,DME,LED,321
172,2018-09-30 08:35:00+03,2018-09-30 09:30:00+03,DME,LED,321
173,2018-09-30 18:05:00+03,2018-09-30 19:00:00+03,DME,LED,321
174,2018-08-12 11:25:00+03,2018-08-12 12:20:00+03,DME,LED,321
175,2018-09-30 10:25:00+03,2018-09-30 11:20:00+03,DME,LED,321
176,2018-09-30 11:25:00+03,2018-09-30 12:20:00+03,DME,LED,321
177,2018-09-11 08:35:00+03,2018-09-11 09:30:00+03,DME,LED,321
178,2018-09-11 18:05:00+03,2018-09-11 19:00:00+03,DME,LED,321
179,2018-09-11 10:25:00+03,2018-09-11 11:20:00+03,DME,LED,321
180,2018-09-11 11:25:00+03,2018-09-11 12:20:00+03,DME,LED,321
181,2018-08-12 10:25:00+03,2018-08-12 11:20:00+03,DME,LED,321
183,2018-10-30 10:25:00+03,2018-10-30 11:20:00+03,DME,LED,321
184,2018-10-30 18:05:00+03,2018-10-30 19:00:00+03,DME,LED,321
185,2018-10-30 08:35:00+03,2018-10-30 09:30:00+03,DME,LED,321
186,2018-09-06 11:25:00+03,2018-09-06 12:20:00+03,DME,LED,321
187,2018-07-16 11:25:00+03,2018-07-16 12:20:00+03,DME,LED,321
188,2018-07-16 10:25:00+03,2018-07-16 11:20:00+03,DME,LED,321
189,2018-07-16 18:05:00+03,2018-07-16 19:00:00+03,DME,LED,321
190,2018-07-16 08:35:00+03,2018-07-16 09:30:00+03,DME,LED,321
191,2018-08-30 08:35:00+03,2018-08-30 09:30:00+03,DME,LED,321
192,2018-08-30 18:05:00+03,2018-08-30 19:00:00+03,DME,LED,321
193,2018-08-30 10:25:00+03,2018-08-30 11:20:00+03,DME,LED,321
194,2018-08-30 11:25:00+03,2018-08-30 12:20:00+03,DME,LED,321
195,2018-09-06 10:25:00+03,2018-09-06 11:20:00+03,DME,LED,321
196,2018-09-06 18:05:00+03,2018-09-06 19:00:00+03,DME,LED,321
197,2018-09-06 08:35:00+03,2018-09-06 09:30:00+03,DME,LED,321
198,2018-10-06 11:25:00+03,2018-10-06 12:20:00+03,DME,LED,321
199,2018-10-06 10:25:00+03,2018-10-06 11:20:00+03,DME,LED,321
200,2018-10-06 18:05:00+03,2018-10-06 19:00:00+03,DME,LED,321
201,2018-10-06 08:35:00+03,2018-10-06 09:30:00+03,DME,LED,321
202,2018-10-10 08:35:00+03,2018-10-10 09:30:00+03,DME,LED,321
203,2018-10-10 18:05:00+03,2018-10-10 19:00:00+03,DME,LED,321
204,2018-10-10 10:25:00+03,2018-10-10 11:20:00+03,DME,LED,321
205,2018-10-10 11:25:00+03,2018-10-10 12:20:00+03,DME,LED,321
206,2018-07-28 11:25:00+03,2018-07-28 12:20:00+03,DME,LED,321
207,2018-07-28 10:25:00+03,2018-07-28 11:20:00+03,DME,LED,321
208,2018-07-28 18:05:00+03,2018-07-28 19:00:00+03,DME,LED,321
209,2018-07-28 08:35:00+03,2018-07-28 09:30:00+03,DME,LED,321
210,2018-10-02 11:25:00+03,2018-10-02 12:20:00+03,DME,LED,321
211,2018-10-02 10:25:00+03,2018-10-02 11:20:00+03,DME,LED,321
212,2018-09-15 11:25:00+03,2018-09-15 12:20:00+03,DME,LED,321
213,2018-09-15 10:25:00+03,2018-09-15 11:20:00+03,DME,LED,321
214,2018-10-02 18:05:00+03,2018-10-02 19:00:00+03,DME,LED,321
215,2018-09-15 18:05:00+03,2018-09-15 19:00:00+03,DME,LED,321
216,2018-09-15 08:35:00+03,2018-09-15 09:30:00+03,DME,LED,321
217,2018-10-02 08:35:00+03,2018-10-02 09:30:00+03,DME,LED,321
218,2018-11-09 11:25:00+03,2018-11-09 12:20:00+03,DME,LED,321
219,2018-11-09 10:25:00+03,2018-11-09 11:20:00+03,DME,LED,321
220,2018-11-09 18:05:00+03,2018-11-09 19:00:00+03,DME,LED,321
221,2018-08-15 11:25:00+03,2018-08-15 12:20:00+03,DME,LED,321
222,2018-11-09 08:35:00+03,2018-11-09 09:30:00+03,DME,LED,321
223,2018-08-15 10:25:00+03,2018-08-15 11:20:00+03,DME,LED,321
224,2018-08-15 18:05:00+03,2018-08-15 19:00:00+03,DME,LED,321
225,2018-08-15 08:35:00+03,2018-08-15 09:30:00+03,DME,LED,321
226,2018-07-21 08:35:00+03,2018-07-21 09:30:00+03,DME,LED,321
227,2018-07-21 18:05:00+03,2018-07-21 19:00:00+03,DME,LED,321
228,2018-07-21 10:25:00+03,2018-07-21 11:20:00+03,DME,LED,321
229,2018-07-21 11:25:00+03,2018-07-21 12:20:00+03,DME,LED,321
230,2018-08-22 08:35:00+03,2018-08-22 09:30:00+03,DME,LED,321
231,2018-08-22 18:05:00+03,2018-08-22 19:00:00+03,DME,LED,321
232,2018-08-22 10:25:00+03,2018-08-22 11:20:00+03,DME,LED,321
233,2018-08-22 11:25:00+03,2018-08-22 12:20:00+03,DME,LED,321
234,2018-11-12 08:35:00+03,2018-11-12 09:30:00+03,DME,LED,321
235,2018-11-12 18:05:00+03,2018-11-12 19:00:00+03,DME,LED,321
236,2018-11-05 08:35:00+03,2018-11-05 09:30:00+03,DME,LED,321
237,2018-11-05 18:05:00+03,2018-11-05 19:00:00+03,DME,LED,321
238,2018-11-12 10:25:00+03,2018-11-12 11:20:00+03,DME,LED,321
239,2018-08-08 08:35:00+03,2018-08-08 09:30:00+03,DME,LED,321
240,2018-08-08 18:05:00+03,2018-08-08 19:00:00+03,DME,LED,321
241,2018-08-08 10:25:00+03,2018-08-08 11:20:00+03,DME,LED,321
242,2018-08-08 11:25:00+03,2018-08-08 12:20:00+03,DME,LED,321
243,2018-11-12 11:25:00+03,2018-11-12 12:20:00+03,DME,LED,321
244,2018-09-22 08:35:00+03,2018-09-22 09:30:00+03,DME,LED,321
245,2018-11-05 10:25:00+03,2018-11-05 11:20:00+03,DME,LED,321
246,2018-09-22 18:05:00+03,2018-09-22 19:00:00+03,DME,LED,321
247,2018-09-22 10:25:00+03,2018-09-22 11:20:00+03,DME,LED,321
248,2018-11-05 11:25:00+03,2018-11-05 12:20:00+03,DME,LED,321
249,2018-09-22 11:25:00+03,2018-09-22 12:20:00+03,DME,LED,321
250,2018-10-23 11:25:00+03,2018-10-23 12:20:00+03,DME,LED,321
251,2018-10-23 10:25:00+03,2018-10-23 11:20:00+03,DME,LED,321
252,2018-10-23 18:05:00+03,2018-10-23 19:00:00+03,DME,LED,321
253,2018-10-23 08:35:00+03,2018-10-23 09:30:00+03,DME,LED,321
254,2018-08-12 18:05:00+03,2018-08-12 19:00:00+03,DME,LED,321
255,2018-09-03 08:35:00+03,2018-09-03 09:30:00+03,DME,LED,321
256,2018-09-03 18:05:00+03,2018-09-03 19:00:00+03,DME,LED,321
257,2018-09-03 10:25:00+03,2018-09-03 11:20:00+03,DME,LED,321
258,2018-09-03 11:25:00+03,2018-09-03 12:20:00+03,DME,LED,321
259,2018-07-29 11:25:00+03,2018-07-29 12:20:00+03,DME,LED,321
260,2018-07-29 10:25:00+03,2018-07-29 11:20:00+03,DME,LED,321
261,2018-07-29 18:05:00+03,2018-07-29 19:00:00+03,DME,LED,321
262,2018-07-29 08:35:00+03,2018-07-29 09:30:00+03,DME,LED,321
263,2018-08-27 11:25:00+03,2018-08-27 12:20:00+03,DME,LED,321
264,2018-08-27 10:25:00+03,2018-08-27 11:20:00+03,DME,LED,321
265,2018-08-27 18:05:00+03,2018-08-27 19:00:00+03,DME,LED,321
266,2018-08-31 18:05:00+03,2018-08-31 19:00:00+03,DME,LED,321
267,2018-08-27 08:35:00+03,2018-08-27 09:30:00+03,DME,LED,321
268,2018-09-27 11:25:00+03,2018-09-27 12:20:00+03,DME,LED,321
269,2018-09-27 10:25:00+03,2018-09-27 11:20:00+03,DME,LED,321
270,2018-09-27 18:05:00+03,2018-09-27 19:00:00+03,DME,LED,321
271,2018-09-27 08:35:00+03,2018-09-27 09:30:00+03,DME,LED,321
272,2018-09-21 08:35:00+03,2018-09-21 09:30:00+03,DME,LED,321
273,2018-09-21 18:05:00+03,2018-09-21 19:00:00+03,DME,LED,321
274,2018-09-21 10:25:00+03,2018-09-21 11:20:00+03,DME,LED,321
275,2018-09-21 11:25:00+03,2018-09-21 12:20:00+03,DME,LED,321
276,2018-08-31 08:35:00+03,2018-08-31 09:30:00+03,DME,LED,321
277,2018-08-21 08:35:00+03,2018-08-21 09:30:00+03,DME,LED,321
278,2018-08-21 18:05:00+03,2018-08-21 19:00:00+03,DME,LED,321
279,2018-08-21 10:25:00+03,2018-08-21 11:20:00+03,DME,LED,321
280,2018-08-21 11:25:00+03,2018-08-21 12:20:00+03,DME,LED,321
281,2018-10-20 08:35:00+03,2018-10-20 09:30:00+03,DME,LED,321
282,2018-10-20 18:05:00+03,2018-10-20 19:00:00+03,DME,LED,321
283,2018-10-20 10:25:00+03,2018-10-20 11:20:00+03,DME,LED,321
284,2018-07-30 11:25:00+03,2018-07-30 12:20:00+03,DME,LED,321
285,2018-08-07 08:35:00+03,2018-08-07 09:30:00+03,DME,LED,321
286,2018-07-30 10:25:00+03,2018-07-30 11:20:00+03,DME,LED,321
287,2018-08-07 18:05:00+03,2018-08-07 19:00:00+03,DME,LED,321
288,2018-08-07 10:25:00+03,2018-08-07 11:20:00+03,DME,LED,321
289,2018-08-07 11:25:00+03,2018-08-07 12:20:00+03,DME,LED,321
290,2018-07-30 18:05:00+03,2018-07-30 19:00:00+03,DME,LED,321
291,2018-07-30 08:35:00+03,2018-07-30 09:30:00+03,DME,LED,321
292,2018-08-25 08:35:00+03,2018-08-25 09:30:00+03,DME,LED,321
293,2018-10-20 11:25:00+03,2018-10-20 12:20:00+03,DME,LED,321
294,2018-08-25 18:05:00+03,2018-08-25 19:00:00+03,DME,LED,321
295,2018-10-31 11:25:00+03,2018-10-31 12:20:00+03,DME,LED,321
296,2018-10-31 10:25:00+03,2018-10-31 11:20:00+03,DME,LED,321
297,2018-10-31 18:05:00+03,2018-10-31 19:00:00+03,DME,LED,321
298,2018-10-31 08:35:00+03,2018-10-31 09:30:00+03,DME,LED,321
299,2018-09-07 11:25:00+03,2018-09-07 12:20:00+03,DME,LED,321
300,2018-09-07 10:25:00+03,2018-09-07 11:20:00+03,DME,LED,321
301,2018-09-07 18:05:00+03,2018-09-07 19:00:00+03,DME,LED,321
302,2018-09-07 08:35:00+03,2018-09-07 09:30:00+03,DME,LED,321
303,2018-08-12 08:35:00+03,2018-08-12 09:30:00+03,DME,LED,321
304,2018-09-16 11:25:00+03,2018-09-16 12:20:00+03,DME,LED,321
305,2018-09-16 10:25:00+03,2018-09-16 11:20:00+03,DME,LED,321
306,2018-09-16 18:05:00+03,2018-09-16 19:00:00+03,DME,LED,321
307,2018-09-16 08:35:00+03,2018-09-16 09:30:00+03,DME,LED,321
308,2018-08-16 11:25:00+03,2018-08-16 12:20:00+03,DME,LED,321
309,2018-11-04 08:35:00+03,2018-11-04 09:30:00+03,DME,LED,321
310,2018-08-16 10:25:00+03,2018-08-16 11:20:00+03,DME,LED,321
311,2018-11-04 18:05:00+03,2018-11-04 19:00:00+03,DME,LED,321
312,2018-11-04 10:25:00+03,2018-11-04 11:20:00+03,DME,LED,321
313,2018-08-16 18:05:00+03,2018-08-16 19:00:00+03,DME,LED,321
314,2018-08-16 08:35:00+03,2018-08-16 09:30:00+03,DME,LED,321
315,2018-09-10 08:35:00+03,2018-09-10 09:30:00+03,DME,LED,321
316,2018-11-04 11:25:00+03,2018-11-04 12:20:00+03,DME,LED,321
317,2018-09-10 18:05:00+03,2018-09-10 19:00:00+03,DME,LED,321
318,2018-09-10 10:25:00+03,2018-09-10 11:20:00+03,DME,LED,321
